Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
4 July 2018,Col_21,3,0.01007,1.41,2.5,Adult,before,Control,
4 July 2018,Col_21,4,0.01124,1.54,3.38,Adult,before,Control,
4 July 2018,Col_21,5,0.00684,1.48,3.43,Adult,before,Control,
4 July 2018,Col_21,6,0.00427,1.07,1.92,Sub 2,before,Control,
4 July 2018,Col_21,7,0.00512,1.22,2.04,Sub 2,before,Control,
4 July 2018,Col_21,8,0.00326,1.03,1.86,Sub 2,before,Control,
4 July 2018,Col_21,9,0.00444,1.18,2.44,Sub 2,before,Control,
4 July 2018,Col_21,10,0.00417,1.1,1.89,Sub 2,before,Control,
4 July 2018,Col_21,11,NA,0.95,1.53,Sub 1,before,Control,
4 July 2018,Col_21,12,NA,0.99,1.91,Sub 1,before,Control,
4 July 2018,Col_21,13,NA,0.96,1.67,Sub 1,before,Control,
4 July 2018,Col_21,14,NA,1.11,2.07,Sub 1,before,Control,
4 July 2018,Col_21,15,NA,1.06,2.01,Sub 1,before,Control,
4 July 2018,Col_22,1,0.01066,1.37,3.09,Adult,before,Control,
4 July 2018,Col_22,2,0.00744,1.37,3.39,Adult,before,Control,
4 July 2018,Col_22,3,0.00639,1.43,3.21,Adult,before,Control,
4 July 2018,Col_22,4,0.00928,1.46,3.5,Adult,before,Control,
4 July 2018,Col_22,5,0.00811,1.51,3.15,Adult,before,Control,
4 July 2018,Col_22,6,0.00502,1.18,2.52,Sub 2,before,Control,
4 July 2018,Col_22,7,0.00315,1.04,1.8,Sub 2,before,Control,Sub 1?
4 July 2018,Col_22,8,0.00436,1.13,2.5,Sub 2,before,Control,
4 July 2018,Col_22,9,0.00438,1.1,2.28,Sub 2,before,Control,
4 July 2018,Col_22,10,0.00366,1.11,2.09,Sub 2,before,Control,
4 July 2018,Col_22,11,NA,0.96,1.53,Sub 1,before,Control,
4 July 2018,Col_22,12,NA,1.03,1.8,Sub 1,before,Control,
4 July 2018,Col_22,13,NA,0.94,1.63,Sub 1,before,Control,
4 July 2018,Col_22,14,NA,0.92,1.67,Sub 1,before,Control,
4 July 2018,Col_22,15,NA,0.94,1.9,Sub 1,before,Control,
4 July 2018,Col_23,1,0.00779,1.38,2.58,Adult,before,Control,
4 July 2018,Col_23,2,0.00708,1.31,2.7,Adult,before,Control,
4 July 2018,Col_23,3,0.00866,1.54,3.36,Adult,before,Control,
4 July 2018,Col_23,4,0.01257,1.45,3.01,Adult,before,Control,
4 July 2018,Col_23,5,0.00829,1.4,2.75,Adult,before,Control,
4 July 2018,Col_23,6,0.00452,1.05,1.91,Sub 2,before,Control,
4 July 2018,Col_23,7,0.00412,1.16,2.02,Sub 2,before,Control,
4 July 2018,Col_23,8,0.00591,1.29,2.55,Sub 2,before,Control,
4 July 2018,Col_23,9,0.00562,1.31,2.3,Sub 2,before,Control,
4 July 2018,Col_23,10,0.0043,1.11,2.04,Sub 2,before,Control,
4 July 2018,Col_23,11,NA,1.13,1.94,Sub 1,before,Control,
4 July 2018,Col_23,12,NA,1.08,2.11,Sub 1,before,Control,
4 July 2018,Col_23,13,NA,0.95,1.68,Sub 1,before,Control,
4 July 2018,Col_23,14,NA,1.06,2.02,Sub 1,before,Control,
4 July 2018,Col_23,15,NA,1.03,1.88,Sub 1,before,Control,
4 July 2018,Col_24,1,0.01195,1.46,3.22,Adult,before,Control,
4 July 2018,Col_24,2,0.00878,1.43,3.03,Adult,before,Control,
4 July 2018,Col_24,3,0.00891,1.47,3.05,Adult,before,Control,
4 July 2018,Col_24,4,0.01257,1.52,3.54,Adult,before,Control,
4 July 2018,Col_24,5,0.006,1.29,2.63,Adult,before,Control,
4 July 2018,Col_24,6,0.00544,1.23,2,Sub 2,before,Control,
4 July 2018,Col_24,7,0.00279,0.96,2.14,Sub 2,before,Control,
4 July 2018,Col_24,8,0.00396,1.17,2.34,Sub 2,before,Control,
4 July 2018,Col_24,9,0.00442,1.19,2.41,Sub 2,before,Control,
4 July 2018,Col_24,10,0.00403,1.1,2.32,Sub 2,before,Control,
